"","mean","sd","2.5%","25%","50%","75%","97.5%","Rhat","n.eff"
"N.ya[40,2]",40560.8854829529,6183.58135648633,29322.1735130102,36282.0628870401,40214.3699554469,44376.2444276515,53686.453207962,1.0009058301337,3000
"N.ya[41,2]",63616.5445236807,6323.24569863647,51568.2074932594,59263.884711242,63412.7643755839,67884.736130172,76250.8875201912,1.00191498990024,1400
"N.ya[1,3]",46837.4560967765,7171.22962289583,33304.1923591043,41786.3080979089,46592.2583847383,51550.0318876626,61154.7278232003,1.00077680525754,3000
"N.ya[2,3]",30405.7127418261,5316.72604952969,21084.1914968697,26633.3858015766,30074.9936812519,33779.6536381384,41631.9667277228,1.00222183708826,1700
"N.ya[3,3]",58235.1346106176,8291.97012842782,42601.6727178417,52511.8590872957,57706.1955239233,63713.6251891714,75578.0338291783,1.00098427276527,3000
"N.ya[4,3]",53851.5864871524,9243.32294938196,37392.1113260327,47220.1786027907,53110.3210648309,59708.2890117109,73293.2663245465,1.00079333414302,3000
"N.ya[5,3]",64418.6329294269,9712.90735222024,46979.4856684695,57844.2973292968,63785.8683242702,70539.553214916,85040.9970316019,1.00050861401953,3000
"N.ya[6,3]",69726.9786232065,8628.32766648257,53540.7118919012,63689.9848007014,69482.0653675338,75485.3541646538,87617.5877125416,1.0050710774838,440
"N.ya[7,3]",108088.982776589,15540.515630757,80088.030815195,97508.7975850201,106987.900623528,117952.208466856,142006.084987778,1.00142138063417,3000
"N.ya[8,3]",119073.42717792,16389.108020643,88951.6960296018,107665.649510867,117689.999460902,129869.920048735,153296.294623553,1.00166164305799,1700
"N.ya[9,3]",75169.7392534702,12495.2667893564,52613.5484092581,66269.365669532,74667.959205248,83501.5652666743,100910.426999926,1.00089786466596,3000
"N.ya[10,3]",125000.948497825,13644.4063902266,100293.791475295,115497.04916058,124402.382095689,134263.742081971,152786.048665058,1.00335985469021,700
"N.ya[11,3]",117221.916451667,13273.2473487926,93005.1289689962,108240.873483053,116515.016514528,125698.276238503,145118.570522897,1.00114300252905,3000
"N.ya[12,3]",51851.0431452776,7391.79387002662,38369.5535383524,46683.8550737212,51750.3512183867,56552.12657873,67284.0951395192,1.00059320081085,3000
"N.ya[13,3]",61024.865105013,7051.42781130113,47759.2011262653,56111.8028986716,60930.3258718746,65768.8842153351,75175.1302663304,1.00115795829339,3000
"N.ya[14,3]",94187.5789540132,15380.6021966812,66325.137318721,83613.8519131168,93608.8338247644,104081.704229721,125647.165347146,1.00485644100864,460
"N.ya[15,3]",129092.508454271,13880.8758691563,102640.279718031,119619.007161925,128819.75602953,138209.006283171,157971.559145407,1.00170546197413,1700
"N.ya[16,3]",66482.8415820604,7315.17927035896,52748.7561816257,61501.995815858,66265.2069383582,71299.77427076,81384.4260636811,1.00326869797185,720
"N.ya[17,3]",117356.991074899,13918.4318590252,91993.1263287685,107568.739512732,116944.545400189,126606.557847044,145791.705756653,1.00672065693945,320
"N.ya[18,3]",222753.178585987,23063.5009287824,178703.141958106,206958.1076969,222263.427162142,237893.539294952,269774.281121209,1.00163531528055,1800
"N.ya[19,3]",96027.1988638412,12214.6171028913,73552.9320696357,87507.4399036308,95621.6724887849,103764.342632328,122175.914748881,1.00053944342198,3000
"N.ya[20,3]",84008.3587671035,9501.58386025619,66261.8004263416,77414.8170826981,83802.0630631093,90293.3857353269,102902.025821993,1.00104624233612,3000
"N.ya[21,3]",84971.6238120571,32092.4169403596,34833.6315462672,60964.2098956898,80360.301432549,104632.105276138,159403.285927661,1.00867148917568,250
"N.ya[22,3]",98878.5686904937,31057.053486791,43002.0333326101,77155.2122531535,97231.4276540244,119407.0470395,164762.320494308,1.00241212859995,1500
"N.ya[23,3]",84736.5239739118,29602.8271273541,33302.7121812913,63486.4151281249,82602.2892139026,103969.843442788,147869.481537873,1.00156350376942,3000
"N.ya[24,3]",164499.050543958,17120.8016938479,132021.067999332,152923.570369221,164141.883010025,175732.840434565,198438.002405566,1.00294536607999,820
"N.ya[25,3]",118177.455571165,9118.2210905562,100787.216187457,111974.838848421,118032.446446429,124203.5049923,136710.488977409,1.00474971251401,470
