,beta,lnalpha,lnalpha.c,S.max,S.eq.c,U.msy_Hilborn,S.msy_Hilborn,Smsy_lambert,Umsy_lambert,,
5143000,4.83E-06,1.183842638,1.321140514,207182.9082,273717.7339,0.538391399,111545.4958,112179.4835,0.541451437,,
5144000,9.03E-06,1.109271609,1.984619572,110740.9044,219778.5662,0.716599747,79356.90403,79530.755,0.718169636,,
5145000,4.10E-06,0.822545498,1.063267023,243706.1109,259124.671,0.452495938,110276.0253,110997.7963,0.455457583,,
5146000,6.68E-06,1.216972448,1.352939967,149735.7702,202583.5079,0.548338725,82105.92125,82560.4229,0.551374083,,
5147000,3.47E-06,0.763509105,0.97559973,287798.43,280776.0707,0.421174227,121213.2812,122021.4972,0.423982498,,
5148000,5.18E-06,0.900438636,1.109221286,192935.8636,214008.5669,0.468484613,90387.48338,90969.8476,0.471503047,,
5149000,7.09E-06,1.428129487,1.816038088,140973.203,256012.706,0.67715944,95461.33525,95745.59883,0.679175877,,
5150000,3.03E-06,1.112216067,1.380907589,329742.0337,455343.2769,0.556970391,183656.5494,184648.1874,0.559977705,,
5151000,6.89E-06,1.259418444,1.417744229,145078.1972,205683.7769,0.568172206,82429.3993,82859.06783,0.57113384,,
5152000,5.11E-06,1.055100685,1.224072389,195639.2292,239476.5786,0.507151469,99218.72258,99822.4834,0.510237562,,
5153000,5.02E-06,1.064683401,1.233230739,199401.648,245908.2417,0.510155306,101725.8087,102341.3358,0.513242177,,
5154000,5.07E-06,0.84136651,1.136349341,197355.4938,224264.7853,0.477784383,94293.37278,94894.13483,0.480828443,,
5155000,2.38E-06,0.834536737,0.946933856,420148.2724,397852.6239,0.410699067,172554.5036,173708.2053,0.413445007,,
5156000,2.70E-06,0.97544894,1.222241962,370084.8913,452333.2836,0.506549702,187466.3914,188608.4199,0.509635558,,
5157000,1.39E-06,0.984002834,1.26447839,718002.126,907898.1724,0.520315803,373587.8528,375802.4694,0.523400218,,
5158000,5.06E-06,0.962245398,1.139650034,197442.7137,225015.5953,0.478908863,94557.06551,95158.6288,0.481955637,,
5159000,1.95E-06,0.675020896,0.792259991,512868.315,406325.0468,0.352192683,180628.4679,181817.8377,0.354511738,,
5160000,9.21E-06,1.705215071,1.922577248,108551.8867,208699.3876,0.702547395,76262.84519,76449.80862,0.704269736,,
5161000,3.84E-06,1.053570074,1.369649841,260640.132,356985.7153,0.553509072,144266.6777,145053.6297,0.556528377,,
5162000,5.42E-06,0.937135132,1.154179633,184420.5804,212854.4777,0.483840673,89230.17766,89794.07488,0.486898342,,
5163000,8.58E-06,1.51572343,1.746616053,116491.4387,203465.8168,0.659761292,76856.54209,77114.58585,0.661976423,,
5164000,6.25E-06,1.13567732,1.295778264,160040.2196,207376.6379,0.53035624,84878.32915,85370.30766,0.533430333,,
5165000,2.06E-06,1.084150541,1.29632924,485226.8827,629013.7963,0.530531755,257428.2698,258919.7803,0.533605597,,
5166000,4.98E-06,0.7385575,0.953179558,200697.0765,191300.3506,0.41299119,82886.12444,83440.05024,0.415751199,,
5167000,4.30E-06,0.470827929,0.804768768,232807.379,187356.1075,0.35704869,83123.56967,83672.67424,0.359407312,,
5168000,6.92E-06,0.972155727,1.150163314,144529.0235,166231.9806,0.482480362,69732.41551,70173.92695,0.485535191,,
5169000,4.36E-06,0.84118223,1.021738767,229118.1803,234098.9272,0.437792876,100306.3071,100969.8747,0.440689057,,
5170000,3.93E-06,0.977502142,1.145511883,254286.9742,291288.7506,0.480902118,122287.1445,123063.0696,0.483953494,,
5171000,5.47E-06,0.801210027,1.113282566,182673.5732,203367.3043,0.469883418,85835.28294,86387.44064,0.472906065,,
5172000,5.50E-06,1.360022525,1.53441866,181805.1972,278965.2871,0.602398486,109519.1756,110020.4097,0.605155471,,
5173000,8.43E-06,1.41949321,1.592438639,118563.7863,188805.5544,0.618709062,73356.48901,73667.83891,0.621335074,,
5174000,8.32E-06,1.600574682,2.039060443,120212.1145,245119.7674,0.728486497,87572.90218,87747.86907,0.729941982,,
5175000,6.12E-06,1.053782219,1.223078439,163480.4079,199949.3621,0.506824759,82855.91831,83360.41352,0.509910726,,
5176000,3.60E-06,0.810966111,0.974993943,277858.2558,270910.1163,0.420954048,116965.5576,117745.5095,0.423761062,,
5177000,6.14E-06,1.037650637,1.252145346,162817.8414,203871.6024,0.516321915,84066.41972,84568.92871,0.519408242,,
5178000,5.54E-06,1.100598492,1.260332461,180351.2049,227302.4778,0.518975577,93597.87053,94154.28902,0.522060771,,
